campaign_id,platform_category,canonical_artist,canonical_product,objective,project_no,product_number_type,campaign_start_date,spend,impressions,reach,video_views,link_clicks,interactions,comments,likes,reactions,shares,follows,conversions,campaign_end_date,campaign_duration_days,total_awareness_metrics,total_traffic_metrics,total_engagement_metrics,streams_during_campaign,streams_10day_post,baseline_streams_14day_pre,streaming_trackable,baseline_start,baseline_end,during_start,during_end,decay_start,decay_end,overlap_days_baseline,overlap_days_during,overlap_days_decay,overlap_ratio_baseline,overlap_ratio_during,overlap_ratio_decay,any_overlap_count
8600344923,youtube,Feyd_Rautha,The_World_Spings,video_views,388191401155,URL,2023-02-12,112.5365043,9245,830,5272,22,7251,0,0,0,0,0,0,2023-03-02,19,14517,22,1979,705076.0,275622.0,31802.071428571428,non_track,2023-01-29,2023-02-11,2023-02-12,2023-03-02,2023-03-03,2023-03-12,0.0,19.0,10.0,0.0,1.0,1.0,1
15921939106,youtube,Jeffrey_Beaumont,Moment_of_Truth,video_views,379017089087,Album URI,2023-01-13,280.89300632,25456,4179,13845,43,19832,0,0,0,0,0,0,2023-01-19,7,39301,43,5987,173258.0,167647.0,10199.0,non_track,2022-12-30,2023-01-12,2023-01-13,2023-01-19,2023-01-20,2023-01-29,7.0,20.0,2.0,0.5,2.857142857142857,0.2,3
24210616442,snapchat,Gurney_Halleck,Packards_Vibration,traffic,114531372146,Playlist URI,2023-01-09,635.52507802,134633,23058,7940,1188,0,0,0,0,0,0,0,2023-02-09,32,142573,1188,0,0.0,0.0,0.0,non_track,2022-12-26,2023-01-08,2023-01-09,2023-02-09,2023-02-10,2023-02-19,0.0,101.0,34.0,0.0,3.15625,3.4,4
32695287656,google,Padishah_Emperor_Shaddam_IV,There's_Fire_where_you_are_going,video_views,846660497406,Track URI,2023-01-03,26.511800078,3571,1428,1021,56,2091,0,0,0,0,0,0,2023-01-08,6,4592,56,1070,532144.0,735166.0,10107.5,track,2022-12-20,2023-01-02,2023-01-03,2023-01-08,2023-01-09,2023-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0
47159246284,snapchat,Mrs_Tremond,Clear_Skies,traffic,868809730610,Track URI,2023-01-23,281.161,26941,1727,2488,661,0,0,0,0,0,0,0,2023-03-06,43,29429,661,0,24914.0,4143.0,868.5,track,2023-01-09,2023-01-22,2023-01-23,2023-03-06,2023-03-07,2023-03-16,0.0,66.0,10.0,0.0,1.5348837209302326,1.0,3
56874306751,youtube,Bill_Dayton,Flying_Owl,video_views,37470172606,Album URI,2023-02-03,1125.21941957,1353946,33228,33567,0,37674,0,0,0,0,0,0,2023-03-28,54,1387513,0,4107,770593.0,20789.0,20879.85714285714,non_track,2023-01-20,2023-02-02,2023-02-03,2023-03-28,2023-03-29,2023-04-07,26.0,48.0,0.0,1.8571428571428572,0.8888888888888888,0.0,4
75282457757,youtube,Betty_Elms,Option_A,video_views,778416221539,Track URI,2023-03-03,403.072027839,779423,115893,8731,0,14993,0,0,0,0,0,0,2023-03-28,26,788154,0,6262,1110338.0,140821.0,41079.71428571428,track,2023-02-17,2023-03-02,2023-03-03,2023-03-28,2023-03-29,2023-04-07,8.0,32.0,0.0,0.5714285714285714,1.2307692307692308,0.0,2
120285243753,snapchat,Gurney_Halleck,Packards_Vibration,traffic,114531372146,Playlist URI,2023-01-17,674.786399992,99858,10823,9981,1152,0,0,0,0,0,0,0,2023-02-19,34,109839,1152,0,0.0,0.0,0.0,non_track,2023-01-03,2023-01-16,2023-01-17,2023-02-19,2023-02-20,2023-03-01,20.0,113.0,34.0,1.4285714285714286,3.323529411764706,3.4,4
122138079319,youtube,Bobby_Peru,Laura_Sees,reach,903823308084,Track URI,2023-03-10,224.74053122,138544,7191,4914,113,8557,0,0,0,0,0,0,2023-03-18,9,143458,113,3643,193207.0,207001.0,17863.5,track,2023-02-24,2023-03-09,2023-03-10,2023-03-18,2023-03-19,2023-03-28,15.0,36.0,20.0,1.0714285714285714,4.0,2.0,4
130740435072,youtube,One_Adam_Kesher,White_Tail_Falls,video_views,206181357229,Album URI,2023-01-16,562.5188160499999,845782,59725,13145,0,14173,0,0,0,0,0,0,2023-01-31,16,858927,0,1028,0.0,0.0,0.0,non_track,2023-01-02,2023-01-15,2023-01-16,2023-01-31,2023-02-01,2023-02-10,0.0,64.0,29.0,0.0,4.0,2.9,4
140676150736,youtube,Phillip_Jeffries,You_and_I,video_views,690884148856,Track URI,2023-03-04,281.11590064,22796,2480,14039,46,18904,0,0,0,0,0,0,2023-03-14,11,36835,46,4865,91092.0,58864.0,6817.428571428572,track,2023-02-18,2023-03-03,2023-03-04,2023-03-14,2023-03-15,2023-03-24,4.0,11.0,5.0,0.2857142857142857,1.0,0.5,1
145070068733,youtube,Lauras_Angel,Questions_in_a_World_of_Blue,video_views,779165140623,Track URI,2023-01-31,562.116326244,796067,90609,12212,0,13125,0,0,0,0,0,0,2023-02-10,11,808279,0,913,489201.0,316769.0,17643.0,track,2023-01-17,2023-01-30,2023-01-31,2023-02-10,2023-02-11,2023-02-20,0.0,22.0,2.0,0.0,2.0,0.2,2
157858920231,facebook,Andy_Brennan,Lumber_Mill,traffic,118087234274,Track URI,2023-03-28,72.9893956,19331,5178,1287,1275,5720,14,0,118,5,0,64,2023-03-31,4,20618,1339,5720,41952.0,0.0,12840.857142857143,track,2023-03-14,2023-03-27,2023-03-28,2023-03-31,2023-04-01,2023-04-10,0.0,4.0,0.0,0.0,1.0,0.0,1
157858920231,facebook,Audrey_Horne,Blue_Wig,traffic,122736490160,URL,2023-01-27,843.34804272,176910,9410,4656,2392,38771,18,25,2729,92,0,72,2023-02-08,13,181566,2464,38771,179405.0,80998.0,8531.857142857143,non_track,2023-01-13,2023-01-26,2023-01-27,2023-02-08,2023-02-09,2023-02-18,0.0,25.0,0.0,0.0,1.9230769230769231,0.0,2
157858920231,facebook,Bill_Dayton,Angel_Vanishes,traffic,37470172606,Track URI,2023-03-07,350.13970686,74822,6034,2756,1708,15715,5,7,275,26,0,56,2023-03-24,18,77578,1764,15715,0.0,0.0,0.0,track,2023-02-21,2023-03-06,2023-03-07,2023-03-24,2023-03-25,2023-04-03,14.0,31.0,4.0,1.0,1.7222222222222223,0.4,2
157858920231,facebook,Bill_Dayton,Flying_Owl,traffic,37470172606,Track URI,2023-01-21,582.53182878,109720,5352,5420,2751,32805,13,35,559,24,0,79,2023-02-10,21,115140,2830,32805,366589.0,203801.0,12332.92857142857,track,2023-01-07,2023-01-20,2023-01-21,2023-02-10,2023-02-11,2023-02-20,0.0,29.0,11.0,0.0,1.380952380952381,1.1,2
157858920231,facebook,Bobby_Peru,Laura_Sees,traffic,903823308084,Track URI,2023-03-07,337.3369678,59822,5100,3146,2196,19849,3,8,165,9,0,14,2023-03-23,17,62968,2210,19849,416563.0,138169.0,12572.57142857143,track,2023-02-21,2023-03-06,2023-03-07,2023-03-23,2023-03-24,2023-04-02,6.0,52.0,5.0,0.42857142857142855,3.0588235294117645,0.5,4
157858920231,facebook,Denise_Bryson,Clean_Slate,traffic,394355408112,Track URI,2023-03-04,281.12726068,47761,2851,2017,1992,9632,5,0,14,0,0,18,2023-03-25,22,49778,2010,9632,46397.0,4105.0,456.14285714285717,track,2023-02-18,2023-03-03,2023-03-04,2023-03-25,2023-03-26,2023-04-04,0.0,21.0,0.0,0.0,0.9545454545454546,0.0,1
157858920231,facebook,Frank_Booth,Rain_Dance,traffic,913729878833,Track URI,2023-02-10,311.02447881,52630,6841,2192,756,11626,1,5,116,4,0,23,2023-02-20,11,54822,779,11626,1682287.0,2073045.0,89088.5,track,2023-01-27,2023-02-09,2023-02-10,2023-02-20,2023-02-21,2023-03-02,0.0,22.0,5.0,0.0,2.0,0.5,2
157858920231,facebook,Jeffrey_Beaumont,No_Thing,traffic,379017089087,Album URI,2023-01-10,281.00354984,61911,6134,3371,2205,18015,22,9,552,17,0,51,2023-01-21,12,65282,2256,18015,308356.0,165117.0,3068.5,non_track,2022-12-27,2023-01-09,2023-01-10,2023-01-21,2023-01-22,2023-01-31,0.0,24.0,0.0,0.0,2.0,0.0,4
157858920231,facebook,Juana_Durango,Without_a_Doubt,traffic,864337936717,Album URI,2023-02-06,1688.28183348,434104,17886,16899,8940,117267,226,36,2264,113,0,71,2023-02-25,20,451003,9011,117267,0.0,0.0,0.0,non_track,2023-01-23,2023-02-05,2023-02-06,2023-02-25,2023-02-26,2023-03-07,44.0,36.0,10.0,3.142857142857143,1.8,1.0,2
157858920231,facebook,Lula_Fortune,Recklessly,traffic,903864886418,Album URI,2023-01-31,843.17934612,157962,5748,10462,8031,61255,35,77,1096,69,0,122,2023-02-28,29,168424,8153,61255,263817.0,98461.0,3293.3571428571427,non_track,2023-01-17,2023-01-30,2023-01-31,2023-02-28,2023-03-01,2023-03-10,14.0,27.0,7.0,1.0,0.9310344827586207,0.7,2
157858920231,facebook,Mr_Eddy,Do_It_for_Van_Gogh,traffic,666699650709,URL,2023-03-26,178.1448618,34415,6552,0,497,581,1,7,81,2,0,164,2023-03-31,6,34415,661,581,0.0,0.0,0.0,non_track,2023-03-12,2023-03-25,2023-03-26,2023-03-31,2023-04-01,2023-04-10,0.0,12.0,0.0,0.0,2.0,0.0,2
157858920231,facebook,Nikki_Grace,Havenhurst,traffic,83213715818,URL,2023-03-07,231.14808132,40930,1153,2183,854,7576,29,1,141,5,0,0,2023-03-14,8,43113,854,7576,0.0,0.0,0.0,non_track,2023-02-21,2023-03-06,2023-03-07,2023-03-14,2023-03-15,2023-03-24,0.0,8.0,10.0,0.0,1.0,1.0,1
157858920231,facebook,One_Adam_Kesher,White_Tail_Falls,traffic,206181357229,Album URI,2023-01-16,562.13081052,109519,5340,2700,2076,18315,3,2,109,3,0,44,2023-02-04,20,112219,2120,18315,0.0,0.0,0.0,non_track,2023-01-02,2023-01-15,2023-01-16,2023-02-04,2023-02-05,2023-02-14,0.0,76.0,21.0,0.0,3.8,2.1,4
157858920231,facebook,Pete_Dayton,Watching_Eyes,traffic,511622323131,Track URI,2023-02-24,93.27797336,19883,8815,1763,1234,8257,13,10,47,6,0,1,2023-03-02,7,21646,1235,8257,1068973.0,2842892.0,19082.071428571428,track,2023-02-10,2023-02-23,2023-02-24,2023-03-02,2023-03-03,2023-03-12,10.0,13.0,3.0,0.7142857142857143,1.8571428571428572,0.3,2
