platform_category,objective,product_number_type,campaign_count,total_campaign_duration_days,typical_campaign_duration,confidence_tier,streaming_attribution_quality,trackable_campaign_proportion,any_overlap_count,total_spend,spend_per_day,impressions,reach,video_views,link_clicks,conversions,interactions,comments,likes,reactions,shares,follows,total_awareness_metrics,awareness_per_day,total_traffic_metrics,traffic_per_day,total_engagement_metrics,engagement_per_day,cpm,cost_per_click,cost_per_1000_engagements,engagement_rate_pct,click_through_rate_pct,conversion_rate_pct,baseline_streams_14day_pre,streams_during_campaign,streams_10day_post,campaign_daily_streams,overlap_ratio_baseline,overlap_ratio_during,overlap_ratio_decay
facebook,traffic,Album URI,6,121,20.0,B_indicative,not_applicable,0.0,2.0,4780.32181488,39.50679185851239,1007170,17886,44043,28886,410,284434,369,143,5346,332,0,1051213,8687.710743801654,29296,242.11570247933884,284434,2350.694214876033,4.746290909062025,0.16548922713009762,16.806435991759074,28.24091265625465,2.8680361805852037,1.4193727065014194,18090.857142857145,1310653.0,511768.0,10831.842975206611,0.6904761904761905,1.5950413223140496,0.6333333333333333
facebook,traffic,Playlist URI,5,298,68.0,A_reliable,not_applicable,0.0,3.8,23035.56571598,77.30055609389261,6208610,48479,57134,39729,1551,462213,79,65,2376,162,0,6265744,21025.986577181207,41280,138.5234899328859,462213,1551.0503355704698,3.7102613493165135,0.5798174058239572,49.83755479828564,7.444709846487378,0.6399016849182023,3.9039492562108284,6547.142857142857,264999.0,112729.0,889.2583892617449,0.6571428571428571,3.62751677852349,0.32
facebook,traffic,Track URI,9,177,17.0,A_reliable,high_noise,1.0,2.888888888888889,3440.02452849,19.43516682762712,705722,11240,27896,20011,609,179651,109,101,3713,221,0,733618,4144.734463276836,20620,116.49717514124293,179651,1014.9774011299435,4.874475400355948,0.17190667775173654,19.148373949991928,25.456341165501428,2.8355358058839033,3.0433261706061665,155351.92857142858,5373128.0,6116367.0,30356.655367231637,0.4603174603174603,2.2824858757062145,0.6555555555555556
facebook,traffic,URL,5,39,8.0,C_exploratory,not_applicable,0.0,1.4,1427.118256,36.59277579487179,296085,9410,9999,6551,254,58574,71,40,3397,128,0,306084,7848.307692307692,6805,174.48717948717947,58574,1501.8974358974358,4.81996134893696,0.21784739062738512,24.364363984020212,19.782832632521067,2.2125403178141414,3.877270645702946,39400.71428571429,292866.0,80998.0,7509.384615384615,0.0,1.4615384615384615,0.2
google,video_views,Track URI,1,6,6.0,C_exploratory,clean,1.0,0.0,26.511800078,4.418633346333333,3571,1428,1021,56,0,2091,0,0,0,0,0,4592,765.3333333333334,56,9.333333333333334,1070,178.33333333333334,7.424194925231028,0.47342500139285715,24.777383250467288,29.963595631475776,1.56818818258191,0.0,10107.5,532144.0,735166.0,88690.66666666667,0.0,0.0,0.0
instagram,awareness,Playlist URI,1,7,7.0,C_exploratory,not_applicable,0.0,0.0,562.17579628,80.31082804,377094,55858,1467,183,0,28027,0,0,870,0,0,378561,54080.142857142855,183,26.142857142857142,28027,4003.8571428571427,1.4908107694102797,3.071998886775956,20.058365015163947,7.432364344168827,0.048529013985902716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
instagram,awareness,Track URI,5,71,13.0,C_exploratory,moderate_noise,1.0,1.4,4470.587792421,62.9660252453662,1600409,63149,17078,2067,390,161349,4,0,2945,0,0,1617487,22781.50704225352,2457,34.605633802816904,161349,2272.521126760563,2.79340330654289,2.1628387965268505,27.707564301117454,10.081735356399522,0.12915448488480133,18.867924528301888,71015.07142857142,1998031.0,516004.0,28141.281690140844,0.0,0.8873239436619719,0.56
instagram,awareness,URL,3,68,22.0,C_exploratory,not_applicable,0.0,2.3333333333333335,6408.086554787,94.23656698216176,2945141,69755,12371,2042,27,160260,4,0,1170,0,0,2957512,43492.82352941176,2069,30.426470588235293,160260,2356.764705882353,2.175816558455775,3.1381422893178255,39.98556442522776,5.441505177511026,0.06933454119853684,1.3222331047992164,8501.714285714286,118995.0,118929.0,1749.9264705882354,0.0,1.3235294117647058,0.8666666666666667
instagram,traffic,Album URI,15,274,21.0,A_reliable,not_applicable,0.0,1.7333333333333334,13825.072785444,50.45647001986861,2196694,39707,93117,74008,1511,633773,141,0,21122,0,0,2289811,8356.974452554745,75519,275.61678832116786,633773,2313.0401459854015,6.293581529991887,0.18680511276407955,21.81391884072688,28.851219150232122,3.3690627825268336,2.0416711706842507,79625.71428571429,2681256.0,1298268.0,9785.60583941606,0.4238095238095238,1.4124087591240877,0.5666666666666667
instagram,traffic,Playlist URI,7,329,62.0,A_reliable,not_applicable,0.0,3.5714285714285716,30844.610057809,93.75261415747417,7436888,39671,83713,75745,16025,691142,56,0,16279,0,0,7520601,22858.96960486322,91770,278.93617021276594,691142,2100.73556231003,4.1475157428495635,0.407216450693894,44.62847006520946,9.293430262765824,1.0185039763944275,21.156511980988842,100569.85714285714,3416417.0,1237002.0,10384.246200607902,0.6122448979591837,3.465045592705167,0.6285714285714286
